Description,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision or Location,Price,Category
Industrial-inspired 2 Bedrooms House and Lot,1,2,0,40,66,"Tuyo, Balanga",2900000,House
House and Lot for Sale with Golf Course View in Silang Cavite near Tagaytay,3,3,0,165,119,Silang,16800000,House
"Modern Contemporary House for Sale in Angeles City, Pampanga",4,4,0,180,120,"Capaya, Angeles",12000000,House
"For Sale Mountain House with Overlooking Views & Pool - Minglanilla, Cebu",3,3,0,318,1200,"Pakigne, Minglanilla",13600000,House
"For Sale:5BR |Modern Furnished 2-Storey House w/ Roof Deck & Garden,San Fernando",5,5,0,650,540,"San Fernando Pampanga Telabastagan, San Fernando",29900000,House
"Newly Renovated 5 Bedroom House and Lot For Sale in San Fernando, Pampanga",4,5,0,250,520,"Telabastagan, San Fernando",25000000,House
"High End and Modern House and Lot for Sale in South Drive, Baguio City",5,4,0,518,144,"South Drive, Baguio",45000000,House
"For Sale - Breathtaking Beach House in Calatagan, Batangas",,8,0,,25000,Calatagan,,House
For Sale: 4BR Bungalow House and Lot at BF HEVA Parañaque City,3,4,0,160,204,"B.F. Homes, Paranaque",17500000,House
"For Sale: 4 Bedroom House in Molave Highlands, Consolacion, Cebu",3,4,0,227,209,"Lamac, Consolacion",12500000,House
"For Sale 4 Bedrooms and 2 Car Garage in Montecelio Residences Concepcion, Tarlac",3,4,0,122.94,112.5,"Alfonso, Concepcion",3690000,House
House and Lot For Sale in Marulas Valenzuela,3,3,0,120,65,"A. Ponciano St, 1441 Valenzuela, Philippines Marulas, Valenzuela",9200000,House
"For Sale 4 Bedroom Bungalow House in Catalunan Grande, Davao City",4,4,0,200,332,"Catalunan Grande, Davao",14200000,House
House and Lot for Sale,1,3,0,96,,Caloocan,4500000,House
"For Sale Pre-selling Modern Design Two (2) Storey Corner Duplex House, Parañaque",4,5,0,276,215,"Don Bosco, Paranaque",23500000,House
"3-Storey Townhouse For Sale in North Olympus Subdivision, Quezon City",3,3,0,116,43,"Fairview, Quezon City",5710000,House
"For Sale: 6 Bedroom House & Lot in Varsity Hills at Loyola Heights, Quezon City",5,6,0,350,1000,"Loyola Heights, Quezon City",98000000,House
For Sale: Well-maintained 2-Storey House with pool at Loyola Grand Villas,5,4,0,600,587,"Matandang Balara, Quezon City",85000000,House
"For Sale:Madonna Residences|Single Detached House 4BR w/ 2 Carport, San Fernando",3,4,0,150,164,"Sindalan, San Fernando",6062500,House
"Duplex House and Lot 10 bedroom for Sale in Mabalacat, Clark",1,3,0,45,40.25,"Dapdap, Mabalacat",1600000,House
4-Bedroom House For Sale at Bel Air Residences Lipa (Athena),3,4,0,172,165,"Marauoy, Lipa",10210000,House
"For Sale Brand New Bungalow House 4 Bedrooms - BF Homes, Parañaque City",3,4,0,256,280,"B.F. Homes, Paranaque",,House
"House & Lot For Sale near Clark Airport and SM Pampanga, Angeles",2,2,0,140,70,"DECA HOME CLARK RESIDENCES, MARGOT ANGELES PAMPANGA Margot, Angeles",2800000,House
"Reduced For Sale : House in Ma. Luisa Estate, Phase 1 with spectacular view Cebu",8,6,0,918,566,"Banilad, Cebu",65000000,House
Kamuning (Area in Quezon City) Townhouse 5 Bedroom 3 Storey For Sale,4,5,0,170,60,"Kamuning, Quezon City",13000000,House
"Santorini House for Sale in Angeles City, Pampanga",5,5,0,246,289,"Amsic, Angeles",25000000,House
"House 9 for sale at Pinewoods Golf & Country Estates, Baguio City",5,4,0,310,537,"Asin Road, Baguio",60000000,House
Overlooking 5- Bedroom Single Detached House and Lot for sale in Talisay Cebu,4,5,0,227,420,"Linao, Talisay, Central Visayas, Philippines Linao, Talisay",14800000,House
"Ready For Occupancy RFO 4 Bedrooms Aircons House Sale in Carmona, Cavite",2,4,0,104,100,"Lantic, Carmona",5232628,House
"For sale House in La Verandilla Homes, congressional Ave Ext., Quezon City",4,4,0,140,78,"Culiat, Quezon City",12500000,House
"House For Sale in Malinta, Valenzuela City",4,5,0,120,60,"Maple St., St. Jude Subd., Malinta, 1440 Valenzuela, Philippines Malinta, Valenzuela",9500000,House
"Brand New House for Sale in Ayala Alabang, Muntinlupa City, Metro Manila",5,6,0,750,574,"Ayala Alabang, Muntinlupa",170000000,House
"5 Bedroom House For Sale in Saint Thomas Estates Dontogan Green Valley, Baguio",2,5,0,350,180,"Dontogan, Baguio",27000000,House
Renovated Modern Two-Storey House and Lot for Sale in UPS 5 Parañaque,3,4,0,190,105,"San Isidro, Paranaque",8800000,House
"2 Storey Duplex House for Sale in Naic, Cavite | Pag-ibig financing",1,2,0,45.5,54,"Sabang, Naic, Calabarzon, Philippines Sabang, Naic",1460000,House
"For Sale A Superb Finish 3BR Modern House in B.F. Homes, Parañaque",3,3,0,200,150,"B.F. Homes, Paranaque",16500000,House
"5 Bedroom House For Sale in Ayala Alabang Village, Muntinlupa City",5,5,0,1000,855,"Ayala Alabang, Muntinlupa",400000000,House
Pre-Selling 2-Storey House at Madonna Residences Sindalan San Fernando Pampanga,3,4,0,135,164,"Sindalan, San Fernando",7052000,House
"For Sale Brand New Modern Two (2) Storey House In BF Homes, Parañaque City",4,4,0,260,189,"B.F. Homes, Paranaque",21000000,House
"House For Sale in Springside Gentri Homes in General Trias, Cavite",2,3,0,60.75,69,"Along Governor Ferrer Drive Pasong Kawayan I, General Trias",2900000,House
"4 Bedroom House & Lot for Sale: Ayala Alabang Village, Muntinlupa City",4,4,0,1200,690,"Ayala Alabang, Muntinlupa",200000000,House
Valle Verde 1 Townhouse for Sale in Pasig,3,3,0,170,150,"Valle Verde 1, Pasig",45000000,House
"Centerville compound, adjacent House for sale at Mira Nila Homes, Quezon City",4,4,0,220,85,"Culiat, Quezon City",12000000,House
"Rush Sale! Bungalow House in Rancho 1, Marikina City Lot 373 sq.m.",3,4,0,200,373,"Concepcion Dos, Marikina",19500000,House
For Sale Brand New High Ceiling Bungalow House and Lot in Angeles -  near Clark,2,3,0,135,150,"Telabastagan, San Fernando",8300000,House
"5bedrooms Townhouse Unit at Pineglades Residences, Project 8, Quezon City",3,4,0,214,86,"Bahay Toro, Quezon City, National Capital Region, Philippines Project 8, Quezon City",16495000,House
"For Sale: Loyola Grand Villas, House and Lot in Matandang Balara, Quezon City",5,6,0,800,1000,"Matandang Balara, Quezon City",160000000,House
"Rania 4 Bedrooms House and Lot For Sale in Bacolor, Pampanga near to SM",3,4,0,151,182,"Cabalantian, Bacolor",6434920,House
Ayala Alabang House For Sale,,,0,,,Muntinlupa,185000000,House
For Sale: Colinas Verdes House and lot with pool in Bulacan,6,3,0,300,250,"Tungkong Mangga, San Jose del Monte",20000000,House
"overlooking house and lot for sale in albur, bohol 1,529 sq.m",2,3,0,250,1529,"Tagbuane, Alburquerque",5400000,House
"Brand New Fully Furnished 3-Bedroom Duplex House For Sale in Angeles, Pampanga",3,3,0,170,120,"Capaya, Angeles",8200000,House
5-Bedroom Unit House in Savannah Iloilo for Sale,3,5,0,166,143,"Savannah Abilay Norte, Oton",15843000,House
"For Sale Corner House & Lot in Southgrove Estates, Imus, Cavite",3,4,0,117,281,"Pasong Buaya II, Imus",13000000,House
"4 Bedroom House and Lot For Sale at Tierra Nueva Village, Muntinlupa City",4.5,4,0,400,375,"Cupang, Muntinlupa",56000000,House
3 Bedroom House & Lot in Amparo Caloocan sells for 5.3M only,2,3,0,83,53,"Marang Amparo Caloocan City Amparo, Caloocan",5340000,House
Canyon Woods Tagaytay House For Sale,5,5,0,650,430,"San Gregorio, Laurel",26500000,House
"For Sale: 4 Bedroom Duplex House in Varsity Hills, Loyola Heights, Quezon City",3,4,0,350,240,"C. Salvador Loyola Heights, Quezon City",49000000,House
"4BR Brand New House And Lot In Treviea, Nuvali",4,4,0,302,250,"Canlubang, Calamba",34000000,House
"3-Bedroom House & Lot For Sale at Bel Air Residences Lipa City, Batangas",3,3,0,165,139,"Bel-Air Residences, Marauoy, Lipa City, Batangas, Philippines Marauoy, Lipa",8210000,House
For Sale House in San Fernando Single Attached 4-Bedroom w/ Carport and Balcony,3,4,0,160,128,San Fernando,6600000,House
"For Sale! Nuvali Townhouse Brand New Unit P700k discount in Calamba, Laguna",2,3,0,60,50.6,"Canlubang, Calamba",5000000,House
3 Bedroom Townhose For Sale in Pleasantfields in Tanza Cavite,1,3,0,50,63,"Santol, Tanza",2918752,House
For Sale 3 Bedroom Townhouse in Tuscany North Estate Burot Tarlac-uno,1,3,0,42,48,"Burot, Tarlac",1750000,House
Sophisticated Huge House With Pool For Sale In Essel Park Subd. Angeles City,7,6,0,537,900,"Telabastagan, San Fernando",45000000,House
For Sale 4 Bedrooms Single Attached House and Lot in Antipolo,3,4,0,93,112,"San Roque, Antipolo",,House
Pre Selling House and Lot for sale thru Pag-Ibig Financing in Trece Martires,2,2,0,57,50,"Lapidario Rd, 4109 Trece Martires City, Philippines Lapidario, Trece Martires",3114170,House
"4 Bedroom House and Lot for Sale at The Fountain Grove, Bacolod City",3,4,0,192,180,"Talisay, Estefania, Bacolod City, Negros Occidental Matab-Ang, Talisay",11129760,House
"Brand New Modern Industrial Design House For Sale in Manila Southwoods, Carmona",5,5,0,565,915,"Cabilang Baybay, Carmona",105000000,House
5Bedrooms for Sale in Brizlane Residences Tandang Sora Quezon City.,4,5,0,312,98,"Cenacle Rd, 1128 Quezon City, Philippines Culiat, Quezon City",19495000,House
"Single Attached house in Laguna, Rosepointe Santa Rosa,2 to 3 bedrooms, Near Sm",1,3,0,102,80,"Rosepointe Tagapo, Santa Rosa",5450000,House
"4 Bedroom House and Lot For Sale at Tierra Nueva Village, Muntinlupa City",4,4,0,400,375,"Cupang, Muntinlupa",56000000,House
Ayala Westgrove Heights 2 Storey House 5 Bedrooms for Sale,,5,0,530,410,"Inchican, Silang",55000000,House
"3-Bedroom House For Sale in Greenmeadows, Mabalacat, Pampanga",3,3,0,99,66,"Mabiga, Mabalacat",,House
"3 Bedroom Townhouse for Sale in Jeanette Gardens 1, Las Piñas City",2,3,0,95,58,"Pulang Lupa Uno, Las Pinas",5980000,House
For Sale 4BR Single Detached House & Lot near New Clark Green City in Capas,2,3,0,98,198,"Cubcub, Capas",5887000,House
For Sale 4BR Single Detached House & Lot near New Clark Green City in Capas,2,3,0,98,198,"Cubcub, Capas",5887000,House
"4 Bedroom House and Lot For Sale in Ayala Alabang Village, Muntinlupa City",4,4,0,500,550,"Ayala Alabang, Muntinlupa",150000000,House
New Manila House and Lot with 3 Bedrooms for Sale in Quezon City,3,3,0,350,969,"New Manila, Quezon City",188955000,House
"5 Bedroom House and Lot For Sale in Ayala Alabang Village, Muntinlupa City",5,5,0,749,883,"Ayala Alabang, Muntinlupa",220000000,House
"Linnea Model - Affordable House and Lot Single Attached For Sale, General Trias",2,3,0,77.25,120,"Panungyanan, General Trias, Calabarzon, Philippines Panungyanan, General Trias",4136000,House
"Affordable 2 Storey Townhouse with 2 Bedroom for sale in Pandi, Bulacan",1,2,0,46.6,40,"Siling Matanda, Pandi",1227966,House
"Introducing Paradise: Your Dream House for sale in Lapu-Lapu City, Cebu!",,4,0,300,363,"Mactan, Lapu-Lapu",,House
Clean Title Brand New House and Lot For Sale in Baliuag 5 Bedroom 2 Car Garage,3,5,0,209,204,"Along Calle Rizal, Brgy Sta Barbara Baliuag City Bulacan Santa Barbara, Baliuag",9800012,House
JADE Model Duplex at Olovarez Homes Southwoods Binan,2,2,0,70.85,84,"San Francisco, Binan",5899500,House
5BR House and Lot for Sale in New Manila Quezon City,5,5,0,550,300,"New Manila, Quezon City",130000000,House
"For Sale: 3 Bedroom with Carport Affordable House & Lot in Lumina Tanza, Cavite",1,3,0,53,63,"Lumina Tanza, Bagtas, Tanza, Cavite, Philippines Bagtas, Tanza",2762000,House
"For Sale Townhouse 3-BR provision, Pag-Ibig Housing Loan, Lipa City",1,3,0,45,36,"Santo Toribio, Lipa",1280000,House
"Duplex 3 bedrooms  For Sale in St. Monique Valais Binangonan, Rizal",3,3,0,132,66,"Gulod, Binangonan",3000000,House
RFO Sleek 4-Bedroom Single Attached House w/ Only 10% DP–Modern Living Made Easy,3,4,0,187,170,"San Isidro, Antipolo",13500000,House
"House and Lot For Sale in Ayala Alabang Village, Muntinlupa City",4,4,0,304,741,"Ayala Alabang, Muntinlupa",163000000,House
READY FOR OCCUPANCY 2- bedroom townhouse for sale in Consolacion Cebu,2,2,0,78,50,"Nangka, Consolacion, Central Visayas, Philippines Nangka, Consolacion",4638990,House
Brand new Corner House. Clark Manor Dau Mabalacat Pamp. near Clark,3,3,0,190,137,"Duquit, Mabalacat",11800000,House
"More Freebies,Preselling House for Sale in Madonna Residences, Sn Fdo. Pampanga",43,4,0,135,164,"Sindalan, San Fernando",7350000,House
House for Sale in Clark Manor Pampanga near Clark,4,4,0,203,120,"Duquit, Mabalacat",12500000,House
"Newly Built 4 Bedroom House for Sale in Lapu-Lapu City, Cebu",2,4,0,126,147,"Subabasbas, Lapu-Lapu",15000000,House
"For Sale: RFO 2 Bedroom House and Lot In Pleasantfields, Tanza, Cavite",1,2,0,50,50,"Santol, Tanza",2989049,House
"5 Bedroom Brand New House with Pool for Sale in Talisay City, Cebu",7,5,0,769,407,"Cadulawan, Talisay",48000000,House
"House and Lot For Sale w/ Balcony & Carport in Mabalacat, Pampanga",1,2,0,50,65,"Sapang Biabas, Mabalacat",2164500,House
6 Bedroom Ultra Modern House and Lot in Ayala Alabang Village,6,6,0,987,1442,"Ayala Alabang, Muntinlupa",540000000,House
"House and Lot For Sale Along National Highway in Junob, Dumaguete City",5,8,0,1000,3289,"Junob, Dumaguete",65000000,House
"Brand New House For Sale in Ayala Alabang Village, Muntinlupa City",7,7,0,1500,900,"Ayala Alabang, Muntinlupa",470000000,House
"4 Bedroom House and Lot For Sale in Ayala Alabang Village, Muntinlupa City",5,4,0,400,300,"Ayala Alabang, Muntinlupa",110000000,House
"5 Bedroom House and Lot For Sale in Ayala Alabang Village, Muntinlupa City",5,5,0,800,688,"Ayala Alabang, Muntinlupa",188000000,House
"Pre-Selling 5BR Townhouse for sale in New Manila, Quezon City",5,5,0,384,122,"Rosal Street Corner Betty Go New Manila, Quezon City",60000000,House
"4-Bedroom Luxurious House and Lot with Balcony For Sale in Imus, Cavite",3,4,0,203,150,"Anabu I-D, Imus",11300000,House
"2-Storey Single Detached, 4 Bedroom House Dasmariñas",3,4,0,121,120,"Salitran III, Dasmarinas",9270000,House
"4 Bedroom 2 Bath, Fully Furnished House and Lot For Sale in Diamond Heights",4,4,0,100,100,"Communal, Davao",7600000,House
"RFO Townhouse for sale in San Juan, 5 Bedrooms, 3 Car Garage",5,5,0,264,92.58,"Pasadena, San Juan",35120000,House
"RFO Townhouse for sale in San Juan, 4 Bedrooms, 3 Car Garage",4,4,0,257,82.03,"Pasadena, San Juan",35710000,House
"5 Bedroom Single Detached House and lot in Daang Reyna, Alabang (SAMANTHA)",4,5,0,195,240,"Alabang, Muntinlupa",16884800,House
"Brand New Townhouse in Better Living, Parañaque City For Sale",4,4,0,150,87,"Don Bosco, Paranaque",,House
Spacious Single Attached House and Lot near Bocaue Exit,2,3,0,75.26,80,"Caysio Road, Santa Maria, Bulacan Caysio, Santa Maria",5400000,House
"RFO Townhouse for sale in San Juan, 3 Bedrooms, 2 Car Garage",2,3,0,183,54.67,"Pasadena, San Juan",24590000,House
"4 Bedrooms House and Lot in 186 Averilla, San Juan City, Metro Manila",5,4,0,280,100,"186 Averilla St., San Juan City Little Baguio, San Juan",42000000,House
"4BR 3-Storey Duplex House for Sale at Palmera Homes 1 in Novaliches, Quezon City",4,4,0,220,92,"Brgy. Sta. Monica Novaliches, Quezon City",10280000,House
"Duplex House For Sale near Clark, Hamana Homes, Magalang, Pampanga",2,3,0,54,90,"Santo Rosario, Magalang",3185421,House
"3 Bedroom House and Lot For Sale in Southdale Nuvali, Laguna, Preselling",2,3,0,85,138,"Nuvali Blvd, 4026 Santa Rosa, Philippines Canlubang, Calamba",10762500,House
"For Sale Contemporary House in Dau, Mabalacat near Bus Terminal & Airport",3,3,0,144,100,"Dau, Mabalacat",8300000,House
RFO 2 Storey Townhouse for sale in East Fairview near Commonwealth Quezon City,3,3,0,100,30,"East Fairview near Commonwealth Quezon City Fairview, Quezon City",6200000,House
"For Sale 4-Bedroom House in Bali Mansions South Forbes, Silang, Cavite",5,4,0,368,277,"Inchican, Silang",35000000,House
"Pre-selling 3-Bedroom House for Sale in Filinvest II, Quezon City",3,3,0,170,121,"Batasan Hills, Quezon City",14000000,House
Cottonwood Heights Antipolo House & Lot For Sale in Rizal,2,2,0,100,200,"San Luis, Antipolo",16000000,House
"3-Bedroom Townhouse with Roof Deck for Sale at Project 8, Quezon City",3,3,0,165,52,"Lot 2-A Benefits corner Dividend Street Project 8, Quezon City",12800000,House
For Sale Ready For Occupancy Affordable Townhouse in Quezon City,2,3,0,68,50,"Bagbag, Quezon City",5116623,House
"L-TH-1-196 - Acquired Property for Sale in, Lot 41, Block 8, Modena Street, Camella Bulakan Subdivision, Phase 1, Brgy. Matungao, Bulacan, Bulacan",,,0,26.5,107,"Matungao, Bulacan",2182300,House
"3 Bedrooms, 2 Toilet and Bath House and Lot for Sale in Pulilan, Bulacan",2,3,0,250,484,"Poblacion, Pulilan",15000000,House
"For Sale: Brand New 5 Bedroom Modern House in Ayala Alabang Village, Muntinlupa",6,5,0,1172,762,"Ayala Alabang, Muntinlupa",420000000,House
Refreshing New Townhouse near Banawe Area,5,4,0,309,93,"Lourdes, Quezon City",33000000,House
OLD HOUSE & LOT POBLACION MAKATI FOR SALE near Makati Ave,3,3,0,250,150,"Poblacion, Makati",78000000,House
"5 Bedroom House and Lot For Sale in Las Pinas Rotale Estate, Las Pinas",4,5,0,386,251,Las Pinas,19500000,House
"Brand New 4 Bedroom Townhouse For Sale in Sanville Subd., Quezon City",4,4,0,350,110,"Culiat, Quezon City",24430000,House
"Siargao Beach Front Villas For Sale in General Luna, Surigao del Norte",3,4,0,200,3000,"Poblacion V, General Luna",250000000,House
Townhouse for sale in EDSA Muñoz Congressional Avenue Quezon City SNR Project 8,3,3,0,120,60,"Congressional Avenue, Quezon City",11300000,House
"4-Bedroom House in Tuscania Garden Residences, Guadalupe, Cebu City for Sale",3,4,0,150,120,"Guadalupe, Cebu",15000000,House
McKinley Hill Village 4BR House & Lot For Sale in Taguig near BGC,4,4,0,324,190,"McKinley Hill, Taguig",115000000,House
For Sale: Brand New Modern Luxury 5 BR Home with Pool in Ayala Alabang,5,5,0,700,747,"Ayala Alabang, Muntinlupa",250000000,House
"4 Bedroom House and Lot for Sale at Madonna Residences, San Fernando, Pampanga",3,4,0,135,164,"Barangay Sindalan, San Fernando, Pampanga Sindalan, San Fernando",7650000,House
"House and Lot for sale at Ayala Alabang Village, Muntinlupa City",4,4,0,800,688,"Ayala Alabang, Muntinlupa",188000000,House
"Billion Peso Mansion Estate for sale at Tivoli Royale, Quezon City",7,5,0,1024,8000,"Batasan Hills, Quezon City",1200000000,House
"House and Lot For Sale in Victoria Place Executive Village, Pasig City",3,5,0,450,250,Pasig,24000000,House
"Complete Turnover Townhouse for sale in Tanza, Cavite",2,3,0,60,52,"Sanja Mayor, Tanza",,House
"Bare type Townhouse for sale in San Fernando, Pampanga",1,2,0,47,40,"Del Carmen, San Fernando",1873945,House
Ayala Alabang Brand New House for Sale,3,3,0,650,650,"Ayala Alabang, Muntinlupa",180000000,House
"4 Bedroom House and Lot for Sale in Almanza Dos, Las Piñas City",2,4,0,150,163,"Almanza Dos, Las Pinas",7000000,House
House and Lot in Lipa,2,3,0,60.5,50,"F. Rodelas Rd. Barangay Bolbok Lipa City Bolbok, Lipa",2913000,House
"For Sale Brand New Colonial-Style House in Verdana Homes Mamplasan, Laguna",3,3,0,250,202,"Langkiwa, Binan",,House
Brand New Modern 3-Storey House & Lot for Sale in Parañaque City,5,5,0,210,75,"Sun Valley, Paranaque",12000000,House
Ayala Alabang Muntinlupa House and lot for sale with pool,5,4,0,600,720,"Ayala Alabang, Muntinlupa",180000000,House
"5BR Brand New House and Lot for Sale in Mckinley Hill Village, Taguig City",6.5,5,0,642,288,"McKinley Hill Dr, 1634 Taguig City, Philippines McKinley Hill, Taguig",198000000,House
"For Sale: 3-Storey House and Lot in Antipolo, Rizal [Near Robinsons Antipolo]",5,5,0,,542,"San Luis, Antipolo",19500000,House
"Aldea Grove Estates 3 Bedroom House and Lot for Sale in Angeles, Pampanga",2,3,0,95,129,"Aldea Grove Estate Angeles Pampanga Mining, Angeles",10810000,House
"Townhouse for Sale near SM at Evergreen Executive Village, Caloocan",1,3,0,57,56.25,"Bagumbong, Caloocan City North, National Capital Region, Philippines Bagumbong, Caloocan",3700000,House
"Single Detached House for Sale near Dona Carmen MRT Station, Quezon City",3,5,0,300,400,"Fairview, Quezon City",18000000,House
"McKinley Hill Village: House For Sale, Lot 189m2, Floor 450m2, 4BR, Taguig City",5,4,0,450,189,"McKinley Hill, Taguig",135000000,House
"4 Bedroom House for Sale in BF Resort Village, Las Piñas City",2,4,0,160,102,"Talon Dos, Las Pinas",8500000,House
Fully Furnished House and Lot For Sale in Filinvest 2 Commonwealth Quezon City,4,4,0,246,194,"Filinvest 2 Batasan Commonwealth Quezon City Townhouse Katipunan, Teachers Village, UP Diliman, Ateneo, Miriam, City Hall, Philippine Kidney Hospital, Heart Center, Lung Center, MRT EDSA, SM North EDSA, Trinoma Congress, Batasang Pambansa House and Lot, Commonwealth, Quezon City",22500000,House
3 Garage 4BR Townhouse For Sale in Tandang Sora Quezon City Nr Mindanao Avenue,4,4,0,148.73,58.53,"Tandang Sora, Quezon City",9750000,House
"For Sale Senior-Friendly Bungalow House in BF Homes, Parañaque City",4,5,0,250,280,"B.F. Homes, Paranaque",24950000,House
"For Sale: 4 Bedroom House in Valle Verde 5, Pasig City, Metro Manila",4,4,0,400,479,"Ugong, Pasig",162000000,House
"For Sale Luxurious Mansion in Ayala Alabang Village, Muntinlupa City",7,7,0,1500,900,"Ayala Alabang, Muntinlupa",,House
2-Storey Townhouse with 3 Bedrooms for Sale in Quezon City (RFO),4,3,0,117,43.33,"Novaliches, Quezon City",5710000,House
"4 Bedroom Modern Contemporary House for Sale in Pristina North, Talamban, Cebu",4,4,0,300,336,"Talamban, Cebu",35000000,House
"Brand New BF Homes Modern House for sale in B.F. Homes, Parañaque",5,4,0,380,286,"B.F. Homes, Paranaque",34000000,House
3 Storey Townhouse For Sale in Project 8 nr EDSA Munoz Congressional Quezon City,3,3,0,200,80,"Project 8, Quezon City",9700000,House
Full sea view House and lot for sale at Playa Calatagan - beautiful sea view,4,5,0,200,591,"Playa Calatagan House and lot for sale Santa Ana, Calatagan",29000000,House
"House and Lot For Sale at Santa Rosa Estates 2 in Sta. Rosa, Laguna",4,4,0,250,225,"Santo Domingo, Santa Rosa",,House
Brand New Modern Two Storey House in Angeles City,3,4,0,190,120,"Amsic, Angeles",11500000,House
"For Sale 4 Bedrooms 2 Garage Single Detached House in Better Living, Parañaque",4,4,0,350,210,"Don Bosco, Paranaque",18500000,House
"For Sale Single Attached House and Lot with P200K Promo Discount, San Pablo",2,3,0,54,88,"San Ignacio, San Pablo",3200000,House
"Affordable 4 Bedrooms House and Lot for Sale in Angeles City, Pampanga",3,4,0,189,182,"Sapalibutad, Angeles",7224820,House
"3BR Townhouse For Sale in Ortigas Avenue Extension, Pasig City",2,3,0,70,60,"Birmingham Metropolis 3 Countryside Pasig City Santa Lucia, Pasig",6450000,House
"Modern 5 Bedroom Townhouse for Sale in New Manila, Quezon City",5,5,0,620,112,"New Manila, Quezon City",87000000,House
For Sale 3BR House in BluHomes Katmon: Eco-Friendly Homes in San Jose del Monte,2,3,0,70.45,72,"Rosanna Heights, Barangay San Manuel, San Jose Del Monte, Bulacan Tungkong Mangga, San Jose del Monte",5763000,House
"4-BR Single-Attached House and Lot in San Miguel, Pasig City",,4,0,120,91,"San Miguel, Pasig",8500000,House
3BR Townhouse for sale in Pasong Tamo Tandang Sora Quezon City nr Congressional,3,3,0,91.6,47.9,"Tandang Sora Quezon City House and Lot nr Congressional Mindanao Avenue Visayas Avenue Commonwealth Teachers Village, UP Diliman, Ateneo, Project 8, Philippine Kidney Hospital, Heart Lung Center SM North EDSA, Trinoma, Quirino Highway, Novaliches, Sauyo, Pasong Tamo, Quezon City",7300000,House
"Fully Furnished House and Lot in Pulu Amsic, Angeles City For Sale",3,4,0,217,246,"Amsic, Angeles",18500000,House
"San Lorenzo Village 2 Storey House 5 Bedroom for Sale, Makati City",5,5,0,,470,"San Lorenzo, Makati",200000000,House
Fully Furnished 5 Bedrooms House for Sale in Tagaytay City with 2 Car Garage,4,5,0,,226,"Buck Estate, Alfonso",25000000,House
House and Lot For Sale with Pool at Dasmariñas Village  Makati City,5,5,0,600,1012,"Dasmarinas, Makati",750000000,House
RUSH SALE 4 BEDROOM BRAND NEW MODERN MINIMALIST HOUSE IN MAA,3,4,0,148,150,"Ma-A, Davao",13600000,House
"For Sale 4 Storey Townhouse at Sampaloc, Manila City",4,3,0,180,52.5,"Philippines, Manila, Barangay 521, San Diego Sampaloc, Manila",11900000,House
Rush Sale!! 5 Bedroom Brand New & Fully Furnished House near Davao Airport,4,5,0,300,162,"Buhangin, Davao",14000000,House
"Walking distance Property near SLU Annex, Baguio City for Sale!",1,1,0,35,168,"Pinget, Baguio",6800000,House
"Nuvali Treveia House and Lot with 4BR for Sale in Canlubang, Calamba, Laguna",4,4,0,302,250,"Treveia, NUVALI, Barangay Canlubang, Calamba City, Laguna Canlubang, Calamba",30000000,House
House and Lot for sale in Mandaluyong City,4,4,0,275,201,Mandaluyong,33000000,House
"For Sale 5 Bedrooms Modern Zen House in Ayala Westgrove Heights, Silang Cavite",5,5,0,600,576,"Puting Kahoy, Silang",,House
"3 Bedrooms House with Garage For Sale in Liliesville, Caloocan City",3,3,0,97,50,"Camarin, Caloocan",5600000,House
MODERN SCANDINAVIAN HOUSE IN ANGELES CITY,3,4,0,220,165,"Amsic, Angeles",15500000,House
"BF Northwest, Parañaque: House and Lot for Sale, with Pool, 5BR, 4 parking, New",6,5,0,860,586,"B.F. Homes, Paranaque",90000000,House
Brand New Two - Storey House in Angeles City,3,4,0,190,120,Angeles,9500000,House
Treveia Nuvali House And Lot For Sale,4,4,0,302,250,"Canlubang, Calamba",30000000,House
"6-BR Brand New Modern Contemporary House in Mirala Nuvali, Calamba",5,6,0,442,448,"Canlubang, Calamba",45000000,House
"4 Bedroom House with Panoramic View in Kishanta, Talisay City, Cebu",4,4,0,330,200,"Lagtang, Talisay",28000000,House
VERSAILLES PALACE ALABANG GLOBAL CITY,5,3,0,220,256,"Almanza Dos, Las Pinas",29000000,House
5 bedroom Brand New Mckinley Hill Village house for sale Taguig,5,5,0,,188,"Fort Bonifacio, Taguig",132000000,House
Ayala Westgrove Heights 4-Bedroom House For Sale,5,4,0,506,389,"Puting Kahoy, Silang",68000000,House
"3 Bedroom Townhouse for Sale in AFPOVAI, Taguig",3,3,0,100,30,"Western Bicutan, Taguig",11000000,House
"For sale 2 Bedroom Townhouse along the highway in San Pablo, Laguna",1,2,0,40,44,"San Ignacio, San Pablo",1800000,House
5 bedroom Brand New Mckinley Hill Village house for sale Taguig,5,5,0,,188,"Fort Bonifacio, Taguig",132000000,House
VERSAILLES PALACE ALABANG GLOBAL CITY,5,3,0,220,256,"Almanza Dos, Las Pinas",29000000,House
"4-Bedroom House and Lot for Sale in Mining, Angeles City, Pampanga",3,4,0,186,120,"Mining, Angeles, Pampanga, Philippines Mining, Angeles",12000000,House
Rush Sale 3-Bedroom Townhouse near SM Southmall in Las Piñas City,3,3,0,112,89,"Talon Singko, Las Pinas",7000000,House
